Ruta,Tractocamión,Prob_vacio
BKHL ALEN DEL NORTE/WM CEDIS MID TEYA,T458,0.5093209851716239
WM SANTA FE/WM CEDIS VILLAHERMOSA SECOS,T534,0.507587164749176
CEDIS JDV CONVENTO/DIST ARCACONTAL MONCLOVA,T468,0.53652083407092
MATTEL DE MEXICO/CEDIS WM MID TEYA,T610,0.504832451053678
WM CEDIS MID TEYA/MEXIQUENSE PARK (UNILEVER),T553,0.5269537903134076
BODEGA AURRERA KABAH/CEDIS PERECEDEROS VHS,T602,0.5229819611635791
CEDIS SECOS VILLA HERMOSA /UNILEVER DE MEXICO,T517,0.5152685014169835
"JUGOS DEL VALLE TEPOTZOTLAN/ARCA CONTINENTAL COMITAN, CHIAPAS",T697,0.5052326368020804
PENSION SALINAS CRUZ/BODEGA AURRERA MATIAS ROMERO,T298,0.5427534031235439
PENSION SALINAS CRUZ/MACROCEDIS ALPURA,T461,0.5149964758463468
SMURFFIT KAPPA/DISTRIBUIDORA LIMBELL,T604,0.5185065474945648
CEDIS SECOS VILLA HERMOSA /BKHL BONAFONT,T565,0.5135954095597485
WM CEDIS CHALCO/RECKITT BENKISER MEXICO,T675,0.5054198535843331
"CHIAPA DE CORZO, CHIAPAS/CEDIS PERECEDEROS VHS",T658,0.5054521480192509
BODEGA AURRERA - TUXTEPEC/PENSION SALINAS CRUZ,T392,0.5054559308517889
CEDIS JDV PLATAH TEZONTEPEC/WM CEDIS MID TEYA,T758,0.5395962503489405
WM CEDIS GUADALAJARA/NESTLE LAGOS DE MORENO,T500,0.5054857044419563
BODEGA PLAZA CHIMALHUACAN/WM CEDIS CHALCO,T414,0.5164243919290087
WM CEDIS CHALCO/SAMS CLUB EL MOLINITO,T436,0.5225774164654193
BB CANCUN PLANTA/HOTEL BAHIA PRINCIPE,T712,0.5056174521559887
